category,country,usd_goal_real
3D Printing,AT,21528.06
3D Printing,AU,7538.07
3D Printing,BE,3214.055
3D Printing,CA,11765.01
3D Printing,CH,41187.86
3D Printing,DE,13317.615000000002
3D Printing,DK,22550.63
3D Printing,ES,16692.08
3D Printing,FR,17384.515
3D Printing,GB,22121.59
3D Printing,HK,16114.105
3D Printing,IE,43688.15
3D Printing,IT,11024.52
3D Printing,LU,31603.025
3D Printing,MX,3967.8450000000003
3D Printing,NL,27034.92
3D Printing,NO,7825.475
3D Printing,NZ,17538.94
3D Printing,Not Specified,21804.07
3D Printing,SE,26227.405
3D Printing,SG,105839.41500000001
3D Printing,US,20000.0
Academic,AT,6782.42
Academic,AU,4628.075
Academic,BE,33983.47
Academic,CA,4158.475
Academic,CH,6470.495
Academic,DE,3422.985
Academic,DK,2199.35
Academic,ES,6330.57
Academic,FR,11322.015
Academic,GB,3533.135
Academic,HK,15063.710000000001
Academic,IE,21263.93
Academic,IT,3838.43
Academic,LU,2132.2
Academic,MX,2188.89
Academic,NL,30396.185
Academic,NO,12368.43
Academic,NZ,957.115
Academic,SE,5938.219999999999
Academic,SG,2496.08
Academic,US,5163.0
Accessories,AT,5219.48
Accessories,AU,3842.31
Accessories,BE,4022.5550000000003
Accessories,CA,3946.33
Accessories,CH,10091.02
Accessories,DE,6674.37
Accessories,DK,8177.674999999999
Accessories,ES,9895.69
Accessories,FR,11033.970000000001
Accessories,GB,4888.78
Accessories,HK,7725.89
Accessories,IE,6628.685
Accessories,IT,11166.95
Accessories,JP,4654.195000000001
Accessories,LU,120450.0
Accessories,MX,2040.6
Accessories,NL,10636.035
Accessories,NO,6676.28
Accessories,NZ,7921.42
Accessories,Not Specified,30000.0
Accessories,SE,5924.98
Accessories,SG,1894.53
Accessories,US,5000.0
Action,AT,3187.1150000000002
Action,AU,7387.16
Action,BE,8255.65
Action,CA,3824.535
Action,DE,25746.635
Action,DK,603.94
Action,ES,17692.43
Action,FR,13965.815
Action,GB,9428.95
Action,IE,17820.75
Action,IT,3954.4449999999997
Action,MX,871.46
Action,NL,2831.445
Action,NO,5190.21
Action,NZ,195.19
Action,SE,6022.35
Action,US,10000.0
Animals,AU,2240.14
Animals,BE,3542.41
Animals,CA,2664.17
Animals,DE,3278.405
Animals,ES,2243.79
Animals,FR,3478.3050000000003
Animals,GB,4152.92
Animals,IE,541.2
Animals,IT,892.32
Animals,MX,1996.87
